pokopia_dex,category,pokopia_no,national_dex,name,species,form,serebii_name,type1,type2,area,habitats,habitat_areas,habitat_rarity,habitat_time,habitat_weather,nl_habitat_requirements,nl_time,nl_weather,specialties,ideal_habitat,favorites,underwater,classification,how_obtained,source_url
Main #001,Main,1,1,Bulbasaur,Bulbasaur,,Bulbasaur,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tall Grass | Bench with greenery,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Tall Grass - Tall Grass x4 | Bench with Greenery - Hedge (any) x2, Seat (any) x1",All day,All weather,Grow,Bright,"Lots of nature, Soft stuff, Cute stuff, Lots of water, Group Activities, Sweet flavors",No,Seed Pokémon,Befriend by building habitat: Tall Grass (Common); Bench with greenery (Common),https://www.serebii.net/pokemonpokopia/pokedex/bulbasaur.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #002,Main,2,2,Ivysaur,Ivysaur,,Ivysaur,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Field of Flowers | Bench with greenery,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Bench with Greenery - Hedge (any) x2, Seat (any) x1 | Field of Flowers - Wildflowers x8",All day,All weather,Grow,Bright,"Lots of nature, Soft stuff, Cute stuff, Pretty flowers, Colorful stuff, Sour flavors",No,Seed Pokémon,Befriend by building habitat: Field of Flowers (Rare); Bench with greenery (Rare),https://www.serebii.net/pokemonpokopia/pokedex/ivysaur.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #003,Main,3,3,Venusaur,Venusaur,,Venusaur,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Field of Flowers | Garden Terrace,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Garden Terrace - 4x Wildflowers, 1x Garden Chair, 1x Garden Table, 1x Garden Light | Field of Flowers - Wildflowers x8",All day,All weather,"Grow, Litter",Bright,"Lots of nature, Soft stuff, Cute stuff, Pretty flowers, Luxury, Sour flavors",No,Seed Pokémon,Befriend by building habitat: Field of Flowers (Rare); Garden Terrace (Rare),https://www.serebii.net/pokemonpokopia/pokedex/venusaur.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #004,Main,4,4,Charmander,Charmander,,Charmander,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tall Grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,Tall Grass - Tall Grass x4,All day,"Sunny, Cloudy",Burn,Warm,"Lots of fire, Wooden stuff, Hard stuff, Exercise, Group Activities, Spicy flavors",No,Lizard Pokémon,Befriend by building habitat: Tall Grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/charmander.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #005,Main,5,5,Charmeleon,Charmeleon,,Charmeleon,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Campsite,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Campsite - Campfire, Straw Table, Straw Stool",All day,"Sunny, Cloudy",Burn,Warm,"Lots of fire, Wooden stuff, Hard stuff, Exercise, Rides, Spicy flavors",No,Flame Pokémon,Befriend by building habitat: Campsite (Common),https://www.serebii.net/pokemonpokopia/pokedex/charmeleon.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #006,Main,6,6,Charizard,Charizard,,Charizard,Fire,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tall Grass | Berry-feast Campsite,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud | Sun/Cloud,"Berry-fest Campsite - Castform Weather Charm (Sun) x2, Bunfire x1, Berry Basket x1, High-up Location | Tall Grass - Tall Grass x4",All day,"Sunny, Cloudy","Burn, Fly",Warm,"Lots of fire, Nice breezes, Wooden stuff, Exercise, Luxury, Spicy flavors",No,Flame Pokémon,Befriend by building habitat: Tall Grass (Very Rare); Berry-feast Campsite (Rare). Restrictions: Tall Grass [weather: Sun/Cloud]; Berry-feast Campsite [weather: Sun/Cloud],https://www.serebii.net/pokemonpokopia/pokedex/charizard.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #007,Main,7,7,Squirtle,Squirtle,,Squirtle,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Tall Grass | Hydrated tall grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Tall Grass - Tall Grass x4 | Hydrated Tall Grass - Tall Grass x4, Water x2",All day,All weather,Water,Humid,"Lots of water, Cleanliness, Healing, Cute stuff, Group Activities, Sweet flavors",Underwater capable,Tiny Turtle Pokémon,Befriend by building habitat: Tall Grass (Common); Hydrated tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/squirtle.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #008,Main,8,8,Wartortle,Wartortle,,Wartortle,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Hydrated tall grass,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Rare,Morning/Day/Evening/Night,Sun/Cloud/Rain,"Hydrated Tall Grass - Tall Grass x4, Water x2",All day,All weather,Water,Humid,"Lots of water, Cleanliness, Healing, Exercise, Hard stuff, Spicy flavors",Underwater capable,Turtle Pokémon,Befriend by building habitat: Hydrated tall grass (Rare),https://www.serebii.net/pokemonpokopia/pokedex/wartortle.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #009,Main,9,9,Blastoise,Blastoise,,Blastoise,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Hydrated tall grass | Floating in the shade,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Very Rare | Rare,Morning/Day/Evening/Night | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Floating in the Shade - Inflatable Boat x1, Beach Parasol x1, Water x2 | Hydrated Tall Grass - Tall Grass x4, Water x2",All day,All weather,"Water, Trade",Humid,"Lots of water, Cleanliness, Healing, Exercise, Luxury, Sour flavors",Underwater capable,Shellfish Pokémon,Befriend by building habitat: Hydrated tall grass (Very Rare); Floating in the shade (Rare),https://www.serebii.net/pokemonpokopia/pokedex/blastoise.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
Main #010,Main,10,16,Pidgey,Pidgey,,Pidgey,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Elevated tall grass | Pretty flower bed,"Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island | Withered Wastelands, Bleak Beach, Rocky Ridges, Sparkling Skylands, Palette Town, Cloud Island",Common | Common,Morning/Day/Evening | Morning/Day/Evening/Night,Sun/Cloud/Rain | Sun/Cloud/Rain,"Pretty Flower Bed - Wildflowers x4 | Elevated Tall Grass - Tall Grass x4, High-up Location","Morning, Daytime, Evening",All weather,"Fly, Search",Bright,"Soft stuff, Nice breezes, Watching stuff, Lots of nature, Play spaces, Sour flavors",No,Tiny Bird Pokémon,Befriend by building habitat: Elevated tall grass (Common); Pretty flower bed (Common). Restrictions: Elevated tall grass [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/pidgey.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
