dex,name,type1,type2,area,how_obtained,source_url
1,Bulbasaur,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tall Grass (Common); Bench with greenery (Common),https://www.serebii.net/pokemonpokopia/pokedex/bulbasaur.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
2,Ivysaur,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Field of Flowers (Rare); Bench with greenery (Rare),https://www.serebii.net/pokemonpokopia/pokedex/ivysaur.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
3,Venusaur,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Field of Flowers (Rare); Garden Terrace (Rare),https://www.serebii.net/pokemonpokopia/pokedex/venusaur.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
4,Charmander,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tall Grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/charmander.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
5,Charmeleon,Fire,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Campsite (Common),https://www.serebii.net/pokemonpokopia/pokedex/charmeleon.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
6,Charizard,Fire,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tall Grass (Very Rare); Berry-feast Campsite (Rare). Restrictions: Tall Grass [weather: Sun/Cloud]; Berry-feast Campsite [weather: Sun/Cloud],https://www.serebii.net/pokemonpokopia/pokedex/charizard.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
7,Squirtle,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tall Grass (Common); Hydrated tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/squirtle.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
8,Wartortle,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated tall grass (Rare),https://www.serebii.net/pokemonpokopia/pokedex/wartortle.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
9,Blastoise,Water,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Hydrated tall grass (Very Rare); Floating in the shade (Rare),https://www.serebii.net/pokemonpokopia/pokedex/blastoise.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
16,Pidgey,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated tall grass (Common); Pretty flower bed (Common). Restrictions: Elevated tall grass [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/pidgey.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
17,Pidgeotto,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated tall grass (Rare); Pretty flower bed (Rare). Restrictions: Elevated tall grass [time: Morning/Day/Evening]; Pretty flower bed [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/pidgeotto.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
18,Pidgeot,Normal,Flying,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Luxury chirp-chirp meal (Common). Restrictions: Luxury chirp-chirp meal [time: Morning/Day/Evening],https://www.serebii.net/pokemonpokopia/pokedex/pidgeot.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
43,Oddish,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tall Grass (Common). Restrictions: Tall Grass [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/oddish.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
44,Gloom,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tropical vibes (Common),https://www.serebii.net/pokemonpokopia/pokedex/gloom.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
45,Vileplume,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Chansey Resting area (Rare),https://www.serebii.net/pokemonpokopia/pokedex/vileplume.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
182,Bellossom,Grass,,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Chansey Resting area (Rare),https://www.serebii.net/pokemonpokopia/pokedex/bellossom.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
46,Paras,Bug,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated flower bed (Common); Flower garden (Common),https://www.serebii.net/pokemonpokopia/pokedex/paras.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
47,Parasect,Bug,Grass,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Elevated flower bed (Rare); Flower garden (Rare),https://www.serebii.net/pokemonpokopia/pokedex/parasect.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
48,Venonat,Bug,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Illuminated tall grass (Common); Illuminated bench (Common). Restrictions: Illuminated tall grass [time: Night]; Illuminated bench [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/venonat.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
49,Venomoth,Bug,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Illuminated tall grass (Rare); Illuminated bench (Rare). Restrictions: Illuminated tall grass [time: Night]; Illuminated bench [time: Night],https://www.serebii.net/pokemonpokopia/pokedex/venomoth.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
69,Bellsprout,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Tree-shaded tall grass (Common),https://www.serebii.net/pokemonpokopia/pokedex/bellsprout.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
70,Weepinbell,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Flowery table (Rare); Irresistible scent and glow (Common),https://www.serebii.net/pokemonpokopia/pokedex/weepinbell.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
71,Victreebel,Grass,Poison,Withered Wastelands; Bleak Beach; Rocky Ridges; Sparkling Skylands; Palette Town; Cloud Island,Befriend by building habitat: Flowery table (Very Rare); Irresistible scent and glow (Rare),https://www.serebii.net/pokemonpokopia/pokedex/victreebel.shtml | https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_Pok%C3%A9dex_number_in_Pok%C3%A9mon_Pokopia
